run_id,	timestamp,random_state,n_splits,groups_key,prevalence_positive,idf_ngram_range,tfidf_max_features,tfidf_min_df,tfidf_max_df,vocab_strategy,top_k,coverage,numeric_scaler,class_weight,model,params_json,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_f1,cv_std_f1,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_roc_auc,cv_std_roc_auc,train_time_sec,inference_time_ms_per_1k,notes,wall_clock_sec,cv_mean_accuracy,cv_std_accuracy,cv_mean_bal_accuracy,cv_std_bal_accuracy,cv_mean_mcc,cv_std_mcc
1759853716_0_LR_0,2025-10-07 23:15:17,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.05, ""max_iter"": 500, ""solver"": ""saga""}",0.548234906008763,0.03128262791998713,0.5223346213504223,0.018613289101525928,0.6642142644934667,0.04553428645531198,0.4312267118894585,0.012168205386917966,0.7667625717068598,0.012119993993578005,0.6074432373046875,36.513328552246094,,1.4395058155059814,0.7179016883546112,0.012341498355595129,0.6989564562952338,0.01303419975725364,0.35107026265020846,0.01926550697255662
1759853717_0_LR_1,2025-10-07 23:15:19,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.05, ""max_iter"": 1000, ""solver"": ""saga""}",0.548627807078789,0.03127957391592285,0.5222832366635053,0.018536877849644154,0.6654517583429008,0.04553988844527607,0.430659707985343,0.012412325411813047,0.7669809239236003,0.01209370208313087,1.1469402313232422,33.4744930267334,,1.6576991081237793,0.7173176992280225,0.012351116621410512,0.6990061764602391,0.012718654584034553,0.3509289798532459,0.01874163938142235
1759853719_0_LR_2,2025-10-07 23:15:20,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}",0.5641247349809542,0.030574706634766673,0.5255485423697914,0.01766344967891613,0.673004734470861,0.042139308890688995,0.43172598208728896,0.011170243201718432,0.7725763107496919,0.011721041827063667,0.5984021663665772,36.62161827087402,,1.1413707733154297,0.7178047908271661,0.010029354840842886,0.7019652084405209,0.011762005460903793,0.3553617962791332,0.017202273050912455
1759853720_0_LR_3,2025-10-07 23:15:21,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}",0.5644669989697337,0.030603040278910896,0.5255635871453673,0.01821242031035718,0.674242228320295,0.04223379861336238,0.43121961170735174,0.011750965130325966,0.7727093658066428,0.011693794388169317,1.2140147686004639,39.084768295288086,,1.297780990600586,0.7173181726840243,0.009700112990724062,0.7020798320899214,0.011975988366261141,0.3553250978915744,0.01778194589508736
1759853721_0_LR_4,2025-10-07 23:15:23,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.2, ""max_iter"": 500, ""solver"": ""saga""}",0.5763028055538442,0.029761503498927006,0.5266032684632215,0.017422978620432954,0.677771786579022,0.03842781356695571,0.4311245879845079,0.013240606975533272,0.7760053372131248,0.011483393086592507,0.6349655151367187,36.8260383605957,,1.2465498447418213,0.7169283571190125,0.00924449973421833,0.7031055677768215,0.011031827040521783,0.35664567633144884,0.016849632687366438
1759853723_0_LR_5,2025-10-07 23:15:24,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.2, ""max_iter"": 1000, ""solver"": ""saga""}",0.5764509476721699,0.029769207220251486,0.5262551104699403,0.017227954237703257,0.677771786579022,0.03842781356695571,0.43066287828860983,0.01304269155306267,0.7760503966833271,0.011467038976260351,1.2958598136901855,37.06793785095215,,1.837052822113037,0.7165390626229358,0.009024267321064849,0.7028523200084724,0.01081280558844247,0.3561208722447543,0.016373096457124637
1759853724_0_LR_6,2025-10-07 23:15:25,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.5, ""max_iter"": 500, ""solver"": ""saga""}",0.5870180270489843,0.028848855255537924,0.5248053651267324,0.016783629702947337,0.6766838835812754,0.037475359476981746,0.42908160689586305,0.011825520018291692,0.7781321355249079,0.011447087722198837,0.35846495628356934,37.85080909729004,,0.4450559616088867,0.7152730507230578,0.010360919943722888,0.7016629744048282,0.012283978099940087,0.3538144960404449,0.018794881668859287
1759853725_0_LR_7,2025-10-07 23:15:25,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 0.5, ""max_iter"": 1000, ""solver"": ""saga""}",0.5870180270489843,0.028848855255537924,0.5248053651267324,0.016783629702947337,0.6766838835812754,0.037475359476981746,0.42908160689586305,0.011825520018291692,0.7781321355249079,0.011447087722198837,0.3468200206756592,37.584543228149414,,0.44776296615600586,0.7152730507230578,0.010360919943722888,0.7016629744048282,0.012283978099940087,0.3538144960404449,0.018794881668859287
1759853725_0_LR_8,2025-10-07 23:15:26,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}",0.5916610741640058,0.02803249039664453,0.5252339480117543,0.016771615331649902,0.6782355846011983,0.03602251830601627,0.4290227409394346,0.012733188904973764,0.7787734624980484,0.011543207324747088,0.6221327781677246,36.91868782043457,,0.7367448806762695,0.7150782139451247,0.01031801629117879,0.7020592841397723,0.011142869743092853,0.354370319662248,0.01740633057836752
1759853726_0_LR_9,2025-10-07 23:15:27,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 1.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5916610741640058,0.02803249039664453,0.5252339480117543,0.016771615331649902,0.6782355846011983,0.03602251830601627,0.4290227409394346,0.012733188904973764,0.7787734624980484,0.011543207324747088,0.6069499492645264,36.86847686767578,,0.7238659858703613,0.7150782139451247,0.01031801629117879,0.7020592841397723,0.011142869743092853,0.354370319662248,0.01740633057836752
